"","order","participant","group","age","gender","condition","version","demoOrder","firstSet","test","firstPicture","answer","choice","p1","p2","p3","p4","p5","p6","acc_p1","acc_p2","acc_p3","acc_p4","acc_p5","acc_p6","acc_1","acc_2","acc_3","acc_4","acc_5","acc_6","ave_acc","ave_PTS","ave_IG"
"21",21,"EI_RPP_64SB","adults",19,"F","baseline","new","['Y', 'R', 'G']","A","(3, 5, 1, 4, 6, 2)","[1, 2, 2, 2, 2, 2]","('Y', 'G', 'G', 'Y', 'R', 'R')","('R', 'Y', 'R', 'Y', 'G', 'G')",3,2,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0.333333333333333,0.166666666666667
"22",22,"EI_RPP_65BK","adults",21,"F","baseline","new","['R', 'G', 'Y']","A","(5, 3, 1, 2, 6, 4)","[1, 1, 1, 1, 2, 1]","('G', 'Y', 'G', 'R', 'R', 'Y')","('G', 'Y', 'G', 'R', 'R', 'Y')",2,3,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1
"23",23,"EI_RPP_68LT","adults",19,"F","baseline","new","['Y', 'G', 'R']","A","(3, 1, 5, 4, 2, 6)","[1, 2, 1, 2, 2, 1]","('Y', 'G', 'G', 'Y', 'R', 'R')","('Y', 'G', 'G', 'Y', 'R', 'R')",2,3,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1
"24",24,"EI_RPP_71TN","adults",19,"M","baseline","new","['Y', 'G', 'R']","B","(4, 6, 2, 3, 1, 5)","[1, 1, 1, 1, 2, 1]","('Y', 'R', 'R', 'Y', 'G', 'G')","('Y', 'R', 'Y', 'Y', 'G', 'G')",2,1,1,1,2,3,1,0,1,1,1,1,1,1,0,1,1,1,0.833333333,0.75,0.833333333333333
"25",25,"EI_RPP_74AR","adults",18,"F","baseline","new","['G', 'Y', 'R']","B","(2, 6, 4, 1, 3, 5)","[1, 2, 1, 2, 2, 2]","('R', 'R', 'Y', 'G', 'Y', 'G')","('R', 'R', 'Y', 'G', 'Y', 'G')",2,3,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1
"26",26,"EI_RPP_77LB","adults",23,"M","baseline","new","['R', 'Y', 'G']","B","(2, 4, 6, 1, 5, 3)","[1, 1, 2, 2, 2, 2]","('R', 'Y', 'R', 'G', 'G', 'Y')","('R', 'Y', 'R', 'G', 'G', 'Y')",2,3,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1
"27",27,"EI_RPP_81TT","adults",19,"F","baseline","new","['Y', 'R', 'G']","A","(1, 5, 3, 2, 6, 4)","[2, 2, 2, 2, 2, 1]","('G', 'G', 'Y', 'R', 'R', 'Y')","('G', 'G', 'Y', 'R', 'R', 'Y')",2,3,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1
"28",28,"EI_RPP_84KT","adults",20,"M","baseline","new","['G', 'Y', 'R']","A","(3, 1, 5, 2, 6, 4)","[1, 1, 1, 1, 1, 1]","('Y', 'G', 'G', 'R', 'R', 'Y')","('Y', 'G', 'G', 'R', 'R', 'Y')",2,3,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1
"29",29,"EI_RPP_92TT","adults",20,"F","baseline","new","['R', 'G', 'Y']","A","(5, 3, 1, 4, 2, 6)","[2, 2, 2, 2, 2, 2]","('G', 'Y', 'G', 'Y', 'R', 'R')","('G', 'Y', 'G', 'Y', 'R', 'R')",2,3,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1
"30",30,"EI_RPP_01JHL","adults",20,"M","explanation","new","['G', 'R', 'Y']","B","(6, 4, 2, 3, 1, 5)","[2, 1, 2, 2, 1, 2]","('R', 'Y', 'R', 'Y', 'G', 'G')","('R', 'Y', 'R', 'Y', 'G', 'G')",2,3,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1
"31",31,"EI_RPP_05AB","adults",20,"F","explanation","new","['Y', 'G', 'R']","B","(2, 6, 4, 3, 1, 5)","[2, 2, 1, 1, 1, 1]","('R', 'R', 'Y', 'Y', 'G', 'G')","('R', 'R', 'Y', 'Y', 'G', 'G')",2,3,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1
"32",32,"EI_RPP_07NS","adults",22,"M","explanation","new","['Y', 'G', 'R']","A","(3, 5, 1, 4, 6, 2)","[1, 1, 2, 1, 2, 1]","('Y', 'G', 'G', 'Y', 'R', 'R')","('Y', 'G', 'G', 'Y', 'R', 'R')",2,3,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1
"33",33,"EI_RPP_09MH","adults",21,"F","explanation","new","['R', 'G', 'Y']","A","(5, 3, 1, 2, 4, 6)","[1, 2, 2, 2, 2, 2]","('G', 'Y', 'G', 'R', 'Y', 'R')","('G', 'Y', 'G', 'R', 'Y', 'R')",2,3,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1
"34",34,"EI_RPP_11BR","adults",21,"F","explanation","new","['R', 'Y', 'G']","B","(6, 4, 2, 1, 3, 5)","[1, 1, 1, 2, 1, 2]","('R', 'Y', 'R', 'G', 'Y', 'G')","('R', 'Y', 'R', 'G', 'Y', 'G')",2,3,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1
